店铺编号,店铺名称,省,市,区,退货是否强制关联订单,是否提前更新平台状态,地址,地址1,地址2,邮编,电话号码,传真,联系人,店铺性质,行业类型名称
JD001,莫代尔裤袜旗舰店（京莫）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
PDD02,西门的店,海外,海外,海外,否,否,00,,,,,,,电商自营,
JD002,俞兆林慧祥专卖店（京俞）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TM001,北极绒南北极专卖店（北）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD003,俞兆林内衣旗舰店（京俞）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD004,俞兆林纳鸿专卖店（京俞）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD005,北极绒内裤旗舰店（京北）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD006,南极人森翼专卖店（京南）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD007,雅鹿纳鸿专卖店（京雅）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD008,北极绒裤袜旗舰店（京北）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD009,南极人衣元专卖店（京南）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD010,莫代尔内衣服饰旗舰店（京莫）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD011,纳鸿母婴专营店（京童）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JD012,雅鹿内衣旗舰店（京雅）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TM002,俞兆林慧祥专卖店（俞）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TM003,南极人舒问专卖店（童）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TM004,尚宸针纺（俞）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TM006,森虎服饰专营店,江苏省,盐城市,东台市,否,否,1,,,,0515-69988959,,森虎,直营,
TM007,纳鸿母婴专营店（童）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TB001,jeansboxstore,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TM008,潮美帅童装专营店,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
WFD-02,外放点-林森,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
TB003,莫代尔南北极专卖店（莫）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,电商自营,
TB004,南极人衣元专卖店（南）,辽宁省,大连市,西岗区,否,否,1,,,,0515-69988959,,森虎,直营,
TB005,逸凡内衣生活馆（混）,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
GM001,国美-北极绒,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
GM002,国美-莫代尔,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
GM003,国美-南极人,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
GM004,国美-雅鹿,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
GM005,国美-俞兆林,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
PDD,拼多多,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
JH01,融善商城,海外,海外,海外,否,否,1,,,,0515-69988959,,森虎,直营,
PDD01,小玄子de店,海外,海外,海外,否,否,00,,,,,,,电商自营,
WFD-07,外放点-森虎包装房,海外,海外,海外,否,否,1,,,,,,,直营,
QT002,电商-暗香内衣（南）,海外,海外,海外,否,否,1,,,,,,,直营,
QT003,电商-黄文军,海外,海外,海外,否,否,1,,,,,,,直营,
QT004,电商-梅小杰,海外,海外,海外,否,否,1,,,,,,,直营,
QT005,电商-万梦誉,海外,海外,海外,否,否,1,,,,,,,直营,
QT006,电商-王峰,海外,海外,海外,否,否,1,,,,,,,直营,
QT007,电商-王珍,海外,海外,海外,否,否,1,,,,,,,直营,
QT008,电商-杨恒军,海外,海外,海外,否,否,1,,,,,,,直营,
QT009,跨境-衣元,海外,海外,海外,否,否,1,,,,,,,直营,
WFD-04,外放点-吴晓明,海外,海外,海外,否,否,1,,,,,,,直营,
WFD-01,外放点-吴江,海外,海外,海外,否,否,1,,,,,,,加盟,
WFD-05,外放点-周晓东,海外,海外,海外,否,否,1,,,,,,,直营,
WFD-06,外放点-刘春,海外,海外,海外,否,否,1,,,,,,,直营,
WFD-03,外放点-丁传龙,海外,海外,海外,否,否,1,,,,,,,直营,
QT016,线下-德润,海外,海外,海外,否,否,1,,,,,,,直营,
QT017,线下购买,海外,海外,海外,否,否,1,,,,,,,直营,
PDD03,漫步族精品服饰店,海外,海外,海外,否,否,11,,,,2737373,,梅德江,电商自营,
